SIGLA,UF,Razão Social,Tipo de Outorga
AME,AM,AMAZONAS ENERGIA S.A,CONCESSIONÁRIA
CASTRO-DIS,PR,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO,PERMISSIONÁRIA
CEA,AP,COMPANHIA DE ELETRICIDADE DO AMAPÁ,DESIGNADA
CEB-DIS,DF,CEB DISTRIBUIÇÃO S.A.,CONCESSIONÁRIA
CEDRAP,SP,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO PARAÍBA,PERMISSIONÁRIA
CEDRI,SP,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI,PERMISSIONÁRIA
CEEE-D,RS,COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - CEEE-D,CONCESSIONÁRIA
CEGERO,SC,COOPERATIVA DE ELETRICIDADE DE SÃO LUDGERO,PERMISSIONÁRIA
CEJAMA,SC,COOPERATIVA DE ELETRICIDADE JACINTO MACHADO,PERMISSIONÁRIA
CELESC-DIS,SC,CELESC DISTRIBUIÇÃO S.A,CONCESSIONÁRIA
CELETRO,RS,COOPERATIVA DE ELETRIFICAÇÃO CENTRO JACUÍ LTDA,PERMISSIONÁRIA
CELPE,PE,COMPANHIA ENERGÉTICA DE PERNAMBUCO,CONCESSIONÁRIA
CEMAR,MA,COMPANHIA ENERGÉTICA DO MARANHÃO,CONCESSIONÁRIA
CEMIG-D,MG,CEMIG DISTRIBUIÇÃO S.A,CONCESSIONÁRIA
CEMIRIM,SP,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM,PERMISSIONÁRIA
CEPRAG,SC,COOPERATIVA DE ELETRICIDADE PRAIA GRANDE,PERMISSIONÁRIA
CERAÇÁ,SC,COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ,PERMISSIONÁRIA
CERAL,SC,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS - CERAL,PERMISSIONÁRIA
CERAL-DIS,PR,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ARAPOTI,PERMISSIONÁRIA
CERAL ARARUAMA,RJ,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA LTDA,PERMISSIONÁRIA
CERBRANORTE,SC,COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE,PERMISSIONÁRIA
CERCI,RJ,COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS ITABORAÍ LTDA,PERMISSIONÁRIA
CEREJ,SC,COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,PERMISSIONÁRIA
CERES,RJ,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA,PERMISSIONÁRIA
CERFOX,RS,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA FONTOURA XAVIER,PERMISSIONÁRIA
CERGAL,SC,COOPERATIVA DE ELETRIFICAÇÃO  ANITA GARIBALDI LTDA,PERMISSIONÁRIA
CERGAPA,SC,COOPERATIVA DE ELETRICIDADE GRÃO PARÁ,PERMISSIONÁRIA
CERGRAL,SC,COOPERATIVA DE ELETRICIDADE DE GRAVATAL,PERMISSIONÁRIA
CERILUZ,RS,COOPERATIVA REGIONAL DE ENERGIA E DESENVOLVIMENTO IJUÍ LTDA,PERMISSIONÁRIA
CERIM,SP,COOPERATIVA DE ELETRIFICAÇÃO RURAL ITU-MAIRINQUE,PERMISSIONÁRIA
CERIPA,SP,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ LTDA,PERMISSIONÁRIA
CERIS,SP,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DE ITAPECERICA DA SERRA,PERMISSIONÁRIA
CERMC,SP,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,PERMISSIONÁRIA
CERMISSÕES,RS,COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,PERMISSIONÁRIA
CERMOFUL,SC,COOPERATIVA FUMACENSE DE ELETRICIDADE,PERMISSIONÁRIA
CERNHE,SP,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,PERMISSIONÁRIA
ERO,RO,ENERGISA RONDÔNIA - DISTRIBUIDORA DE ENERGIA S.A,CONCESSIONÁRIA
CERPALO,SC,COOPERATIVA DE ELETRICIDADE DE PAULO LOPES,PERMISSIONÁRIA
CERPRO,SP,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,PERMISSIONÁRIA
CERRP,SP,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO-CERRP,PERMISSIONÁRIA
CERSAD,SC,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,PERMISSIONÁRIA
CERSUL,SC,CERSUL - COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,PERMISSIONÁRIA
CERTAJA,RS,COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,PERMISSIONÁRIA
CERTEL,RS,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA TEUTÔNIA,PERMISSIONÁRIA
CERTHIL,RS,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ENTRE RIOS LTDA,PERMISSIONÁRIA
CERTREL,SC,COOPERATIVA DE ENERGIA TREVISO,PERMISSIONÁRIA
CERVAM,SP,COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI,PERMISSIONÁRIA
CETRIL,SP,COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO,PERMISSIONÁRIA
CHESP,GO,COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,CONCESSIONÁRIA
COCEL,PR,COMPANHIA CAMPOLARGUENSE DE ENERGIA,CONCESSIONÁRIA
CODESAM,SC,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SANTA MARIA,PERMISSIONÁRIA
COELBA,BA,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA,CONCESSIONÁRIA
COOPERA,SC,COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO - COOPERA,PERMISSIONÁRIA
COOPERALIANÇA,SC,COOPERATIVA ALIANÇA,CONCESSIONÁRIA
COOPERCOCAL,SC,COOPERATIVA ENERGÉTICA COCAL,PERMISSIONÁRIA
COOPERLUZ,RS,COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE,PERMISSIONÁRIA
COOPERMILA,SC,COOPERATIVA DE ELETRIFICAÇÃO LAURO MULLER,PERMISSIONÁRIA
COOPERNORTE,RS,COOPERATIVA REGIONAL DE DISTRIBUIÇÃO DE ENERGIA DO LITORAL NORTE - COOPERNORTE,PERMISSIONÁRIA
COOPERSUL,RS,COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL FRONTEIRA SUL LTDA,PERMISSIONÁRIA
COOPERZEM,SC,COOPERZEM COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,PERMISSIONÁRIA
COORSEL,SC,COOPERATIVA REGIONAL SUL DE ELETRIFICAÇÃO RURAL,PERMISSIONÁRIA
COPEL-DIS,PR,COPEL DISTRIBUIÇÃO S.A.,CONCESSIONÁRIA
COPREL,RS,COPREL COOPERATIVA DE ENERGIA,PERMISSIONÁRIA
COSERN,RN,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN,CONCESSIONÁRIA
CPFL PAULISTA,SP,COMPANHIA PAULISTA DE FORÇA E LUZ,CONCESSIONÁRIA
CPFL PIRATININGA,SP,COMPANHIA PIRATININGA DE FORÇA E LUZ,CONCESSIONÁRIA
CPFL SANTA CRUZ,SP,COMPANHIA JAGUARI DE ENERGIA,CONCESSIONÁRIA
CRELUZ-D,RS,CRELUZ - COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA,PERMISSIONÁRIA
CRERAL,RS,COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL DO ALTO URUGUAI,PERMISSIONÁRIA
DEMEI,RS,DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUÍ,CONCESSIONÁRIA
DMED,MG,DME DISTRIBUIÇÃO S.A. - DMED,CONCESSIONÁRIA
EBO,PB,ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A,CONCESSIONÁRIA
EDP ES,ES,ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,CONCESSIONÁRIA
EDP SP,SP,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,CONCESSIONÁRIA
EFLJC,SC,EMPRESA FORÇA E LUZ JOÃO CESA LTDA,CONCESSIONÁRIA
EFLUL,SC,EMPRESA FORÇA E LUZ DE URUSSANGA LTDA,CONCESSIONÁRIA
EAC,AC,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,CONCESSIONÁRIA
ELETROCAR,RS,CENTRAIS ELÉTRICAS DE CARAZINHO SA,CONCESSIONÁRIA
EMG,MG,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.,CONCESSIONÁRIA
EMS,MS,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,CONCESSIONÁRIA
EMT,MT,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,CONCESSIONÁRIA
ENEL CE,CE,COMPANHIA ENERGÉTICA DO CEARÁ,CONCESSIONÁRIA
ENEL GO,GO,CELG DISTRIBUIÇÃO S.A.,CONCESSIONÁRIA
ENEL RJ,RJ,AMPLA ENERGIA E SERVIÇOS S.A.,CONCESSIONÁRIA
ENEL SP,SP,ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A.,CONCESSIONÁRIA
ENF,RJ,ENERGISA NOVA FRIBURGO - DISTRIBUIDORA DE ENERGIA S.A.,CONCESSIONÁRIA
EPB,PB,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S.A,CONCESSIONÁRIA
EQUATORIAL AL,AL,EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,CONCESSIONÁRIA
EQUATORIAL PA,PA,EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,CONCESSIONÁRIA
EQUATORIAL PI,PI,EQUATORIAL PIAUÍ DISTRIBUIDORA DE ENERGIA S.A,CONCESSIONÁRIA
ESE,SE,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A,CONCESSIONÁRIA
ETO,TO,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,CONCESSIONÁRIA
FORCEL,PR,FORÇA E LUZ CORONEL VIVIDA LTDA,CONCESSIONÁRIA
HIDROPAN,RS,HIDROPAN DISTRIBUIÇÃO DE ENERGIA S.A.,CONCESSIONÁRIA
DCELT,SC,DCELT - DISTRIBUIDORA CATARINENSE DE ENERGIA ELÉTRICA LTDA,CONCESSIONÁRIA
MUXENERGIA,RS,MUXFELDT MARIN E CIA LTDA,CONCESSIONÁRIA
RGE,RS,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,CONCESSIONÁRIA
RORAIMA ENERGIA,RR,RORAIMA ENERGIA S.A,CONCESSIONÁRIA
UHENPAL,RS,NOVA PALMA ENERGIA LTDA,CONCESSIONÁRIA
CERCOS,SE,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA,PERMISSIONÁRIA
ELEKTRO,SP,ELEKTRO REDES S.A.,CONCESSIONÁRIA
ELFSM,ES,EMPRESA LUZ E FORÇA SANTA MARIA S/A,CONCESSIONÁRIA
ESS,SP,ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S.A.,CONCESSIONÁRIA
